year,conference,Rk,School,G,W,L,W%,,ORtg,DRtg,NRtg,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,SRS,SOS,Pace
2025,Big Ten,16,Iowa,33,2,8,0.515,,115.1,111.2,3.9,30.6,62.6,0.49,9.8,25.7,0.38,0.568,11.5,16.2,0.705,8.7,32.0,18.3,6.6,4.2,9.8,15.4,79.7,12.85,10.06,71.4
2025,Big Ten,17,Penn State,31,3,8,0.516,,111.4,103.1,8.3,27.7,57.8,0.479,7.2,20.9,0.343,0.541,16.6,21.9,0.756,9.4,33.7,16.0,8.1,4.1,12.4,16.5,73.2,13.57,7.7,71.0
2025,Big Ten,18,Washington,31,2,9,0.419,,103.4,109.0,-5.6,25.4,57.1,0.445,7.0,20.4,0.344,0.506,13.7,20.1,0.682,9.5,32.6,12.9,6.5,3.9,12.0,18.4,75.5,6.26,10.76,68.6
2015,West Coast,1,Gonzaga,38,11,1,0.921,,120.3,94.3,26.0,28.5,54.8,0.52,6.9,17.4,0.4,0.584,14.7,21.2,0.691,10.3,37.9,16.3,5.9,3.3,10.4,16.8,61.7,21.12,5.12,65.2
2015,West Coast,2,BYU,35,8,3,0.714,,116.7,102.0,14.7,27.9,59.7,0.467,8.6,21.8,0.393,0.539,19.4,25.3,0.766,12.0,38.5,17.0,7.3,2.9,11.9,20.6,73.2,13.53,5.02,70.7
2015,West Coast,3,Saint Mary's,31,7,4,0.677,,108.8,100.8,8.0,24.3,53.1,0.457,7.3,19.5,0.373,0.526,13.3,18.6,0.715,10.6,36.0,15.0,5.1,2.3,12.1,17.5,64.0,8.68,3.78,62.5
2015,West Coast,4,Pepperdine,32,7,7,0.563,,98.3,95.9,2.3,22.0,52.1,0.423,4.5,14.5,0.313,0.466,14.6,19.7,0.741,9.4,33.2,13.3,6.3,3.4,12.3,17.6,61.6,3.86,2.8,64.2
2015,West Coast,5,San Diego,31,4,8,0.484,,101.4,98.5,2.9,22.3,52.8,0.422,6.2,18.1,0.342,0.48,14.0,20.4,0.687,10.4,32.8,12.5,6.4,3.8,11.8,19.9,62.9,5.03,3.47,63.3
2015,West Coast,6,Portland,33,5,7,0.515,,106.9,104.1,2.9,24.5,55.3,0.444,6.5,17.4,0.376,0.503,14.5,20.2,0.717,11.8,35.5,14.7,5.8,4.5,12.2,18.5,68.3,3.06,2.67,64.6
2015,West Coast,7,San Francisco,32,4,8,0.438,,104.8,102.5,2.3,24.5,54.2,0.451,6.3,18.6,0.341,0.51,13.9,22.2,0.629,10.6,34.8,13.8,5.8,2.5,11.8,20.2,67.7,3.08,2.83,65.6
2015,West Coast,8,Santa Clara,32,3,9,0.438,,102.9,108.5,-5.5,22.2,52.3,0.424,6.9,19.9,0.349,0.491,12.0,16.3,0.737,9.3,29.9,11.8,5.6,1.8,10.6,18.7,66.8,-0.38,4.12,61.3
2015,West Coast,9,Loyola Marymount,31,2,11,0.258,,98.1,111.3,-13.2,21.9,52.3,0.418,5.2,14.6,0.354,0.467,13.3,18.7,0.71,11.3,32.6,12.5,6.1,3.5,13.6,17.4,70.6,-4.13,5.28,62.9
